HAUPTNR,TITEL,JAHR,URL,NAMIDENT,AUSST_DATUM,AUSST_ORT,AUSST_TITEL
6004775,"Die Niesen-Kette von Reichenbach aus",1902,http://server1102.cs.technik.fhnw.ch/bilder/031457E1.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6004850,"Thunersee mit Stockhornkette am Abend",1910,http://server1102.cs.technik.fhnw.ch/bilder/058847E1.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6006390,Näherin,1885,http://server1102.cs.technik.fhnw.ch/bilder/008729E1.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6008726,"Die Quelle",1904,http://server1102.cs.technik.fhnw.ch/bilder/040454E1.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6005093,"Am Fuss des Petit Salève",1890,http://server1102.cs.technik.fhnw.ch/bilder/040458E1.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6006404,"Bildnis Letizia Raviola",1916,http://server1102.cs.technik.fhnw.ch/bilder/018081E1.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6008386,"Der Holzfäller",1910,http://server1102.cs.technik.fhnw.ch/bilder/040451E1.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6005175,"Landschaft bei Madrid",1878,http://server1102.cs.technik.fhnw.ch/bilder/043563E4.jpg,"Hodler, Ferdinand",8.5.1998-20.6.1998,"St. Gallen","Ferdinand Hodler. Sammlung Thomas Schmidheiny"
6005259,"Tanne am Bach",1910,http://server1102.cs.technik.fhnw.ch/bilder/009180E1.jpg,"Hodler, Ferdinand",28.5.1983-19.6.1983,Staad,"F. Hodler. Aus Ostschweizer Privatsammlungen. Ausstellung zum 10 Jahr-Jubiläum"
6004777,Gantrischkette,1901,http://server1102.cs.technik.fhnw.ch/bilder/035302E1.jpg,"Hodler, Ferdinand",28.5.1983-19.6.1983,Staad,"F. Hodler. Aus Ostschweizer Privatsammlungen. Ausstellung zum 10 Jahr-Jubiläum"
6007010,Einmütigkeit,1913,http://server1102.cs.technik.fhnw.ch/bilder/040456E1.jpg,"Hodler, Ferdinand",28.5.1983-19.6.1983,Staad,"F. Hodler. Aus Ostschweizer Privatsammlungen. Ausstellung zum 10 Jahr-Jubiläum"
6004733,"Die Aare bei Solothurn",,http://server1102.cs.technik.fhnw.ch/bilder/007822E1.jpg,"Hodler, Ferdinand",28.5.1983-19.6.1983,Staad,"F. Hodler. Aus Ostschweizer Privatsammlungen. Ausstellung zum 10 Jahr-Jubiläum"
